,station,date,year,month,day,weekday,daily_total_rainfall,mean_temp,mean_wind_speed,rained
315,Changi,2014-11-12,2014,11,12,2,0.4,27.2,5.0,1
316,Changi,2014-11-13,2014,11,13,3,64.4,27.0,6.0,1
317,Changi,2014-11-14,2014,11,14,4,0.2,27.8,7.9,1
318,Changi,2014-11-15,2014,11,15,5,13.6,27.1,6.2,1
319,Changi,2014-11-16,2014,11,16,6,8.0,26.4,4.9,1
320,Changi,2014-11-17,2014,11,17,0,0.2,26.5,8.0,1
321,Changi,2014-11-18,2014,11,18,1,7.6,25.6,5.0,1
322,Changi,2014-11-19,2014,11,19,2,0.0,27.6,7.5,0
323,Changi,2014-11-20,2014,11,20,3,0.0,27.8,7.7,0
324,Changi,2014-11-21,2014,11,21,4,0.2,27.4,5.6,1
325,Changi,2014-11-22,2014,11,22,5,1.6,27.9,6.8,1
326,Changi,2014-11-23,2014,11,23,6,3.2,27.9,5.4,1
327,Changi,2014-11-24,2014,11,24,0,1.6,27.7,5.8,1
328,Changi,2014-11-25,2014,11,25,1,0.2,28.0,6.1,1
329,Changi,2014-11-26,2014,11,26,2,39.4,27.3,5.5,1
330,Changi,2014-11-27,2014,11,27,3,0.0,27.7,7.6,0
331,Changi,2014-11-28,2014,11,28,4,0.6,28.0,6.7,1
332,Changi,2014-11-29,2014,11,29,5,0.6,26.6,5.5,1
333,Changi,2014-11-30,2014,11,30,6,0.0,27.9,5.9,0
334,Changi,2014-12-01,2014,12,1,0,26.4,26.4,4.3,1
335,Changi,2014-12-02,2014,12,2,1,0.0,28.0,4.6,0
336,Changi,2014-12-03,2014,12,3,2,0.0,28.6,5.8,0
337,Changi,2014-12-04,2014,12,4,3,18.8,25.9,4.9,1
338,Changi,2014-12-05,2014,12,5,4,0.0,28.0,7.8,0
339,Changi,2014-12-06,2014,12,6,5,27.4,26.8,5.7,1
340,Changi,2014-12-07,2014,12,7,6,35.2,26.8,5.3,1
341,Changi,2014-12-08,2014,12,8,0,0.0,27.0,6.3,0
342,Changi,2014-12-09,2014,12,9,1,0.0,28.0,9.4,0
343,Changi,2014-12-10,2014,12,10,2,0.0,28.4,10.2,0
344,Changi,2014-12-11,2014,12,11,3,0.0,28.2,9.3,0
345,Changi,2014-12-12,2014,12,12,4,0.0,28.4,11.2,0
346,Changi,2014-12-13,2014,12,13,5,0.0,28.6,10.1,0
347,Changi,2014-12-14,2014,12,14,6,0.0,28.9,9.5,0
348,Changi,2014-12-15,2014,12,15,0,0.0,27.9,9.1,0
349,Changi,2014-12-16,2014,12,16,1,5.0,26.8,6.0,1
350,Changi,2014-12-17,2014,12,17,2,17.6,26.4,6.7,1
351,Changi,2014-12-18,2014,12,18,3,0.0,27.8,10.4,0
352,Changi,2014-12-19,2014,12,19,4,15.6,25.2,5.8,1
353,Changi,2014-12-20,2014,12,20,5,0.4,26.9,6.2,1
354,Changi,2014-12-21,2014,12,21,6,0.4,27.2,7.1,1
355,Changi,2014-12-22,2014,12,22,0,0.6,26.8,5.4,1
356,Changi,2014-12-23,2014,12,23,1,0.2,26.4,5.7,1
357,Changi,2014-12-24,2014,12,24,2,0.6,26.9,7.2,1
358,Changi,2014-12-25,2014,12,25,3,36.4,27.3,4.8,1
359,Changi,2014-12-26,2014,12,26,4,48.2,25.4,6.3,1
360,Changi,2014-12-27,2014,12,27,5,9.6,26.0,6.3,1
361,Changi,2014-12-28,2014,12,28,6,1.2,26.2,7.4,1
362,Changi,2014-12-29,2014,12,29,0,2.0,25.8,9.7,1
363,Changi,2014-12-30,2014,12,30,1,0.0,25.5,7.8,0
364,Changi,2014-12-31,2014,12,31,2,0.0,26.3,9.7,0
365,Changi,2015-01-01,2015,1,1,3,0.6,25.8,7.6,1
366,Changi,2015-01-02,2015,1,2,4,0.0,26.8,11.2,0
367,Changi,2015-01-03,2015,1,3,5,0.0,27.1,8.7,0
368,Changi,2015-01-04,2015,1,4,6,0.0,27.7,8.4,0
369,Changi,2015-01-05,2015,1,5,0,0.0,27.8,8.6,0
370,Changi,2015-01-06,2015,1,6,1,21.8,26.6,7.6,1
371,Changi,2015-01-07,2015,1,7,2,22.4,26.2,5.9,1
372,Changi,2015-01-08,2015,1,8,3,0.8,25.8,6.3,1
373,Changi,2015-01-09,2015,1,9,4,0.4,25.0,6.7,1
374,Changi,2015-01-10,2015,1,10,5,33.6,25.9,8.4,1
375,Changi,2015-01-11,2015,1,11,6,0.0,26.7,9.0,0
376,Changi,2015-01-12,2015,1,12,0,0.0,27.3,11.9,0
377,Changi,2015-01-13,2015,1,13,1,0.0,27.4,13.0,0
378,Changi,2015-01-14,2015,1,14,2,0.0,27.6,12.9,0
379,Changi,2015-01-15,2015,1,15,3,0.0,27.2,11.8,0
380,Changi,2015-01-16,2015,1,16,4,0.0,26.9,11.8,0
381,Changi,2015-01-17,2015,1,17,5,0.0,26.8,11.4,0
